,id_operacion,id_comanda,id_mesa,usuario_reg,fecha_emision,estado_comanda,id_barra,total_venta,cogs_comanda,margen_comanda
143,1130,65160,1,ANGELA,26-02-12 19:30,26,1,"Bs 330,00","Bs 65,00","Bs 265,00"
84,1130,65221,1,ANGELA,26-02-12 23:54,26,1,"Bs 50,00","Bs 22,98","Bs 27,02"
7,1130,65298,1,ANGELA,26-02-13 03:27,26,1,"Bs 35,00","Bs 7,01","Bs 27,99"
14,1130,65291,1,ANGELA,26-02-13 02:57,26,1,"Bs 35,00","Bs 7,01","Bs 27,99"
15,1130,65290,1,ARNOLD,26-02-13 02:56,26,1,"Bs 35,00","Bs 7,01","Bs 27,99"
66,1130,65239,1,ARNOLD,26-02-13 00:46,26,1,"Bs 380,00","Bs 105,26","Bs 274,74"
6,1130,65299,1,ANGELA,26-02-13 03:27,26,1,"Bs 380,00","Bs 100,21","Bs 279,79"
47,1130,65258,1,ARNOLD,26-02-13 01:33,26,1,"Bs 380,00","Bs 100,21","Bs 279,79"
94,1130,65211,1,ANGELA,26-02-12 23:34,26,1,"Bs 380,00","Bs 100,21","Bs 279,79"
81,1130,65224,1,ANGELA,26-02-12 23:56,26,1,"Bs 120,00","Bs 91,37","Bs 28,63"
20,1130,65285,1,ANGELA,26-02-13 02:40,26,1,"Bs 40,00","Bs 11,10","Bs 28,90"
30,1130,65275,1,ANGELA,26-02-13 02:09,26,1,"Bs 40,00","Bs 11,10","Bs 28,90"
76,1130,65229,1,ARNOLD,26-02-13 00:21,26,1,"Bs 40,00","Bs 11,10","Bs 28,90"
48,1130,65257,1,ARNOLD,26-02-13 01:30,26,1,"Bs 470,00","Bs 179,21","Bs 290,79"
135,1130,65169,1,ANGELA,26-02-12 21:14,26,1,"Bs 375,00","Bs 82,77","Bs 292,24"
0,1130,65305,1,ANGELA,26-02-13 03:58,26,1,"Bs 45,00","Bs 14,78","Bs 30,22"
17,1130,65288,1,ANGELA,26-02-13 02:49,26,1,"Bs 45,00","Bs 14,78","Bs 30,22"
77,1130,65228,1,ARNOLD,26-02-13 00:16,26,1,"Bs 410,00","Bs 106,53","Bs 303,47"
21,1130,65284,1,ANGELA,26-02-13 02:31,26,1,"Bs 40,00","Bs 9,00","Bs 31,00"
9,1130,65296,1,ARNOLD,26-02-13 03:03,26,1,"Bs 210,00","Bs 178,74","Bs 31,26"
23,1130,65282,1,ANGELA,26-02-13 02:25,26,1,"Bs 210,00","Bs 178,74","Bs 31,26"
122,1130,65182,1,ANGELA,26-02-12 22:21,26,1,"Bs 210,00","Bs 178,74","Bs 31,26"
39,1130,65266,1,ANGELA,26-02-13 01:49,26,1,"Bs 40,00","Bs 8,37","Bs 31,63"
129,1130,65175,1,ANGELA,26-02-12 21:50,26,1,"Bs 40,00","Bs 8,37","Bs 31,63"
1,1130,65304,1,ANGELA,26-02-13 03:57,26,1,"Bs 500,00","Bs 183,00","Bs 317,00"
13,1130,65292,1,ANGELA,26-02-13 02:58,26,1,"Bs 40,00","Bs 7,51","Bs 32,49"
3,1130,65302,1,ANGELA,26-02-13 03:43,26,1,"Bs 60,00","Bs 27,50","Bs 32,50"
31,1130,65274,1,ANGELA,26-02-13 02:06,26,1,"Bs 60,00","Bs 27,50","Bs 32,50"
40,1130,65265,1,ARNOLD,26-02-13 01:49,26,1,"Bs 50,00","Bs 16,70","Bs 33,30"
50,1130,65255,1,ANGELA,26-02-13 01:19,26,1,"Bs 50,00","Bs 16,70","Bs 33,30"
72,1130,65233,1,ARNOLD,26-02-13 00:29,26,1,"Bs 50,00","Bs 16,70","Bs 33,30"
89,1130,65216,1,ARNOLD,26-02-12 23:46,26,1,"Bs 50,00","Bs 16,70","Bs 33,30"
103,1130,65202,1,ARNOLD,26-02-12 23:10,26,1,"Bs 50,00","Bs 16,41","Bs 33,59"
27,1130,65278,1,ANGELA,26-02-13 02:13,26,1,"Bs 55,00","Bs 19,42","Bs 35,58"
